,post_id,tag,similarity,original_post_id
0,48726897,opengl,0.15926792425343594,48726897
1,48726897,  opengl-3,0.15926792425343594,48726897
2,48726897,  opengl-4,0.15926792425343594,48726897
3,48722872,three.js,0.1241299417290567,48726897
4,48722872,  glsl,0.1241299417290567,48726897
5,48722872,  webgl,0.1241299417290567,48726897
6,48722872,  shader,0.1241299417290567,48726897
7,48722872,  vertex-shader,0.1241299417290567,48726897
8,48701173,java,0.12095677924954452,48726897
9,48701173,  algorithm,0.12095677924954452,48726897
10,48701173,  dijkstra,0.12095677924954452,48726897
11,48472285,c++,0.1082643216436612,48726897
12,48472285,  eclipse,0.1082643216436612,48726897
13,48472285,  opengl,0.1082643216436612,48726897
14,48472285,  glsl,0.1082643216436612,48726897
15,48472285,  glut,0.1082643216436612,48726897
16,48757056,opengl,0.1074870177575437,48726897
17,48757056,  glsl,0.1074870177575437,48726897
18,48555292,matrix,0.08610173237776957,48726897
19,48555292,  opengl-es,0.08610173237776957,48726897
20,48555292,  glsl,0.08610173237776957,48726897
21,48723725,opengl,0.08145542223880656,48726897
22,48723725,  normals,0.08145542223880656,48726897
23,48579730,javascript,0.08095359272257674,48726897
24,48579730,  jointjs,0.08095359272257674,48726897
25,48586627,c++,0.080579942869036,48726897
26,48586627,  linux,0.080579942869036,48726897
27,48586627,  visual-studio,0.080579942869036,48726897
28,48586627,  opengl,0.080579942869036,48726897
29,48511900,glsl,0.07087511517766311,48726897
30,48511900,  webgl,0.07087511517766311,48726897
31,48638116,opengl,0.06927279297816588,48726897
32,48638116,  language-lawyer,0.06927279297816588,48726897
33,48638116,  access-violation,0.06927279297816588,48726897
34,48638116,  vertex-shader,0.06927279297816588,48726897
35,48765023,python,0.06903453002490524,48726897
36,48765023,  string,0.06903453002490524,48726897
37,48765023,  python-3.x,0.06903453002490524,48726897
38,48765023,  combinations,0.06903453002490524,48726897
39,48765023,  combinatorics,0.06903453002490524,48726897
40,48679483,android,0.06541376806158092,48726897
41,48679483,  wifi-direct,0.06541376806158092,48726897
42,48679483,  wifip2p,0.06541376806158092,48726897
43,48679483,  android-sharing,0.06541376806158092,48726897
44,48517939,android,0.06460749002675018,48726897
45,48517939,  android-wifi,0.06460749002675018,48726897
46,48517939,  wifi-direct,0.06460749002675018,48726897
47,48517939,  file-sharing,0.06460749002675018,48726897
48,48517939,  wifip2p,0.06460749002675018,48726897
49,48631119,opengl-es,0.0631810568570957,48726897
50,48631119,  sprite-kit,0.0631810568570957,48726897
51,48631119,  glsl,0.0631810568570957,48726897
